data,log_PIB,log_IBOV
2002,5.60133520081722,4.05053441954012
2003,5.66499152650745,4.33859592357683
2004,5.72091968673755,4.41823498175676
2005,5.7652646146322,4.5244740154736
2006,5.81647661720712,4.64810619173372
2007,5.86113936376771,4.80540569714278
2008,5.91148786666856,4.5666024574071
2009,5.96402001840119,4.83624813918117
2010,6.0242269843183,4.84076456785968
2011,6.06475927009451,4.75399647585121
2012,6.1043884278489,4.78498796056496
2013,6.15023190062231,4.70983790449783
2014,6.17855164822591,4.70022763564825
2015,6.19059499692841,4.63698910181223
2016,6.21292394824518,4.77979123082965
2017,6.23568648114241,4.88310472739238
2018,6.25991840348106,4.94392464019548
2019,6.28496870006406,5.0664526537578
2020,6.31153750733684,5.07666228525766
2021,6.36353000142202,5.02045244176876
2022,6.41231368570487,5.04151505999657
